"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS",0.000129769011160135,0.0413556121552784,0.360069862301145,1.43371625226127,0,1187,"MYPN;CHI3L1;MYBPC3;CYP19A1;ITGB6;TLR3;DCANP1;GJA5;CD34;PTF1A;IGFBP7;IL18;ACTC1;CSF3R;TWIST1;MYMX;WNT6;GHRL;TM4SF1;TIFAB;CX3CR1;LMOD2;NCMAP;EPGN;ITGB2;FLT1;RS1;SNAI2;ITGA8;EDN2;MSGN1;KLK3;MAG;DCSTAMP;INHBA;COL3A1;GSC-DT;NKX2-5;NPPB;SYK;PECAM1;MYBPH;TNNT2;DMP1;FOXC2;WNT11;CCDC38;HAND2;COL1A1;OVOL2;MSX2;FOXD1;MMP14;WNT2;SLC34A1;ZPBP2;PRL;FN1;HAND1;ANXA1;GREM1;WT1;EDN1;S100A1;FOLR1;SPINK2;MYL9;FOXA2;ECSCR;TGFB1;EMILIN1;ANKRD1;FOXC1;ANGPTL6;PPARG;NTRK1;MEOX1;HOXA7;SERPINE1;GATA3;ALX1;TBX18;TBX1;HOXB3;COL8A1;TCF15;GATA2;EDNRA;MYOZ2;SULF1;NPR3;LOXL2;TBX5;CCN2;SRPX2;COL5A1;HOXB13;MMP19;ESM1;ID1;PNLDC1;CAV1;ENG;TCF21;GRHL2;CCL2;CSPG4;ITGA5;BMP4;HNF1B;GATA6;KRT8;TBX3;BMP5;TNFRSF12A;COL5A2;WNT3A;EYA2;COL4A1;ADM;FLNC;TNF;RGCC;NFATC4;TGFBI;CLDN5;GSC;EMILIN2;BMPER;IL1A;CDH5;COL4A3;COL12A1;ELK3;HEYL;IRX1;CIB1;PDGFRB;CCN1;CXCL13;DLL3;IHH;MYH6;ENPEP;RHOJ;ANXA3;LAMB1;SIX2;ZC3H12A;TMOD4;TFAP2B;HSPB1;LMOD1;ADAMTS1;THBS3;SPARC;MSX1;TGM2;MYBPC1;FAP;PITX2;ETS1;SPEM3;ATOH8;PDGFB;WNT2B;CAV3;DCN;ALDH1A3;ITGB3;RRAS;EHD2;GRHL3;TNN;ITGA4;SYNPO2L;HEY1;STRA6;NPR2;ADAMTS15;PTGS2;MPL;TMIGD2;ADGRG6;STAB1;TPM1;EPAS1;MFAP2;SLC44A4;TIE1;RBM46;WLS;MDK;LFNG;HOXA11;ADGRA2;GADD45A;CSRP1;PLXND1;RPL41;CACNA1S;CDH11;FBN2;UNC13D;HOXA3;CASP3;KRT19;PFN4;IRX2;GDF7;RPL37A;SERPINF1;LRG1;TBX4;RLN2;GJA1;COL4A2;CSRP3;WNT16;TGIF1;MPIG6B;CHAD;COL11A1;GATA5;SLC24A4;COL18A1;CSRP2;MMP2;NOS3;CFTR;RPL37;RPL39;FZD6;MYCBPAP;RPL36;RPL35A;MEGF11;FBLN5;COL8A2;SFRP2;VEGFD;GCM1;NFKB2;ITGAV;RPLP2;TNMD;APLNR;PLK2;EPHA2;SMOC2;VAV3;RBM20;RPL31;JUN;ENAM;RPLP1;MYH9;WNT1;MFGE8;RPL27;NTF4;ACVRL1;TGFBR2;PDGFRA;ACTN1;RPL9;SLC4A2;RPL30;VTN;APOLD1;ITGA7;SDC4;SNAI1;OSR1;TLX2;SPRY1;ISM1;TANC1;FMNL3;BCL2L11;RPL34;FHL2;TSPAN12;THBS1;RPL24;ANG;JAG1;HSPA12B;HES1;HSPG2;FLT4;RPL35;RPL27A;ETV2;FOXA1;DMRT2;BMP7;MFNG"
"GOBP_ANIMAL_ORGAN_MORPHOGENESIS",0.000132345156167284,0.0413556121552784,0.376171468910612,1.48709820926425,0,994,"HOXB7;HOXC8;MYBPC3;HOXA4;ITGB6;DCANP1;GJA5;CD34;MFRP;WNT10A;PTF1A;MYL11;ACTC1;CSF3R;HOXC9;ABCC9;HOXC13;TWIST1;AGT;ACTG2;WNT6;TIFAB;COL1A2;ODAM;FOXN1;RS1;SNAI2;ITGA8;HOXA9;ETV7;INHBA;COL3A1;NKX2-5;SYK;TNNT2;DMP1;FOXC2;WNT11;RYR1;CER1;HAND2;COL1A1;OVOL2;IGF1;MSX2;FOXD1;MMP14;TNFSF11;WNT2;SLC34A1;RP1;SFTPB;MMP13;HAND1;GREM1;WT1;EDN1;FOLR1;TMEM119;SHOX2;TGFB1;ANKRD1;FOXC1;TLR4;ID3;ALPK2;HOXA7;SERPINE1;HOXD8;HOXB4;GATA3;ALX1;TBX18;TBX1;HOXB3;COL8A1;TCF15;GATA2;EDNRA;SULF1;MYO3B;COL5A3;TNNC1;TBX5;CCN2;COL5A1;HOXB13;NEUROD1;RUNX2;ID1;HGF;CAV1;ACTN3;ENG;HOXB2;HLX;TCF21;GRHL2;CCL2;ACTA2;MYL3;TBX15;BMP4;HNF1B;TNNI1;GATA6;IGF2;TBX3;BMP5;COL5A2;WNT3A;TNC;PDX1;PRDM1;TNF;LTF;CLDN5;GSC;FLI1;PRRX1;LRIG3;BMP1;COL13A1;SMAD6;HEYL;IRX1;CCN1;ZFPM2;ALX3;IHH;MYH6;MGP;HHIP;LAMB1;SP5;SIX2;FST;TFAP2B;TRPV4;BLVRB;ADAMTS1;THBS3;SPARC;MSX1;TGM2;PITX2;WNT2B;CAV3;DCN;ALDH1A3;GCNT4;HOXB9;GRHL3;CSRNP1;FLRT2;SYNPO2L;HEY1;STRA6;NPR2;AGTR2;COL27A1;FOXE1;FOXE3;ADGRG6;EFEMP2;IGFBP5;LRRK2;TPM1;VSX1;LCTL;CTSZ;MFAP2;SLC44A4;FOXF2;WLS;SERPINH1;MDK;LFNG;HOXA11;POU4F3;PLXND1;CRIP1;CTSH;SMAD7;FOXL2;FBN2;HOXA3;IRX2;GDF7;PITX3;TNNI3;CCM2L;PDGFC;BAX;TBX4;GPC3;SAMD11;MFAP5;RSPO2;WNT16;NPNT;CHAD;COL11A1;ADAMTS19;TULP1;GATA5;SLC24A4;COL18A1;HMX3;FBN1;NR3C1;MMP2;NOS3;CFTR;MYLK2;FZD6;CSF1;MEGF11;MDFI;COL9A1;PAX5;COL8A2;PAX9;SERPINB5;ID2;SFRP2;APLNR;EPHA2;NAGLU;RBM20;JUN;CRX;ENAM;WWTR1;P2RX7;EVA1A;PAX7;WNT1;LIMS2;NTF4;ACVRL1;TGFBR2;PDGFRA;CEMP1;SLC4A2;SP7;ESR1;CLRN1;ABCA12;SNAI1;LZTS2;HOXB8;OSR1;SPRY1;BCL2L11;FHL2;TSPAN12;JAG1;CNTF;ELN;HES1;SFRP4;FOXA1;BMP7;OTX1;COMP;LAMA5;BCAR3;MAN2A1;SLITRK6;ADPRHL1;DKK1;CEACAM1;DLC1;TSKU;OSR2;ADAMTS9;HMGN1;PARVA;PTK7;TGFB2;SAPCD2;DSP;WNT7B;FGF1;LIF;PAX3;FZD1;TAF10;NKD1;EFEMP1;NKX3-1;TTN;VAX2;TNFAIP3;FOSL2"
"GOBP_CARDIAC_CHAMBER_DEVELOPMENT",0.000160359204618345,0.0413556121552784,0.525409484546615,1.8180546033795,0,172,"DAND5;MYBPC3;GJA5;NKX2-5;TNNT2;FOXC2;WNT11;HAND2;OVOL2;MSX2;WNT2;HAND1;SHOX2;TGFB1;FOXC1;GATA3;TBX1;EDNRA;TNNC1;TBX5;ENG;GRHL2;MYL3;BMP4;TNNI1;GATA6;TBX3;BMP5;PRDM1;SMAD6;HEYL;CCN1;ZFPM2;MYH6;ADAMTS1;PITX2;CAV3;HEY1;STRA6;ADGRG6;TPM1;PLXND1;SMAD7;TNNI3;COL11A1;ADAMTS19;MYOCD;NOS3;ID2;SFRP2;APLNR;NAGLU;EVA1A;TGFBR2;ADAMTS6;FHL2;JAG1;HES1;BMP7;ADPRHL1;PARVA;PTK7;TGFB2;DSP;FZD1"
"GOBP_CARDIAC_CHAMBER_MORPHOGENESIS",0.000166057788110262,0.0413556121552784,0.572533321847756,1.92189127219031,0,130,"MYBPC3;GJA5;NKX2-5;TNNT2;FOXC2;WNT11;HAND2;OVOL2;MSX2;WNT2;HAND1;SHOX2;TGFB1;FOXC1;GATA3;TBX1;EDNRA;TNNC1;TBX5;ENG;GRHL2;MYL3;BMP4;TNNI1;GATA6;TBX3;BMP5;SMAD6;HEYL;CCN1;ZFPM2;MYH6;ADAMTS1;PITX2;CAV3;HEY1;ADGRG6;TPM1;SMAD7;TNNI3;COL11A1;ADAMTS19;NOS3;ID2;SFRP2;APLNR;NAGLU;EVA1A;TGFBR2;FHL2;JAG1;HES1;BMP7;ADPRHL1;PARVA;TGFB2;DSP;FZD1"
"GOBP_CARDIAC_SEPTUM_DEVELOPMENT",0.000168833361472227,0.0413556121552784,0.523278828677035,1.71597677045966,0,110,"DAND5;GJA5;NKX2-5;WNT11;MSX2;HAND1;GATA3;TBX1;TBX5;ENG;BMP4;GATA6;TBX3;BMP5;PRDM1;SMAD6;HEYL;CCN1;ZFPM2;PITX2;HEY1;STRA6;PLXND1;SMAD7;ADAMTS19;NOS3;ID2;APLNR;TGFBR2;ADAMTS6;JAG1;HES1;BMP7;PARVA;PTK7;TGFB2;FZD1"
"GOBP_CARDIAC_SEPTUM_MORPHOGENESIS",0.000174125021765628,0.0413556121552784,0.587753403292167,1.81557203968795,0,73,"GJA5;NKX2-5;WNT11;MSX2;HAND1;TBX1;TBX5;ENG;BMP4;GATA6;TBX3;BMP5;SMAD6;HEYL;CCN1;ZFPM2;PITX2;HEY1;SMAD7;ADAMTS19;NOS3;ID2;APLNR;TGFBR2;JAG1;HES1;BMP7;PARVA;TGFB2;FZD1"
"GOBP_CARDIAC_VENTRICLE_DEVELOPMENT",0.00016594756057086,0.0413556121552784,0.516312061701791,1.73538153936349,0,132,"DAND5;MYBPC3;GJA5;NKX2-5;TNNT2;FOXC2;WNT11;HAND2;HAND1;TGFB1;FOXC1;GATA3;EDNRA;TNNC1;TBX5;ENG;GRHL2;MYL3;BMP4;TNNI1;TBX3;PRDM1;SMAD6;HEYL;CCN1;ZFPM2;MYH6;PITX2;HEY1;STRA6;TPM1;SMAD7;TNNI3;COL11A1;ADAMTS19;MYOCD;NOS3;ID2;SFRP2;APLNR;NAGLU;EVA1A;TGFBR2;JAG1;HES1;PTK7;TGFB2;DSP;FZD1"
"GOBP_CARDIAC_VENTRICLE_MORPHOGENESIS",0.000174125021765628,0.0413556121552784,0.564733045226766,1.74446208402791,0,73,"MYBPC3;NKX2-5;TNNT2;FOXC2;HAND2;HAND1;TGFB1;FOXC1;GATA3;EDNRA;TNNC1;TBX5;ENG;GRHL2;MYL3;BMP4;TNNI1;HEYL;ZFPM2;MYH6;HEY1;TPM1;SMAD7;TNNI3;COL11A1;SFRP2;NAGLU;EVA1A;TGFBR2"
"GOBP_CARTILAGE_DEVELOPMENT",0.000159693388693708,0.0413556121552784,0.436293554996634,1.53810253612131,0,209,"CHI3L1;GHRL;SNAI2;COL3A1;CCN4;WNT11;CER1;HAND2;COL1A1;MSX2;MMP13;HAND1;GREM1;EDN1;SHOX2;TGFB1;TLR4;GATA3;HOXB3;BGN;SULF1;LOXL2;CCN2;RUNX2;MUSTN1;PKDCC;LUM;BMP4;BMP5;TGFBI;PRRX1;BMP1;CCN1;IHH;MGP;SIX2;TRPV4;THBS3;MSX1;PBXIP1;WNT2B;PITX1;NPR2;COL27A1;SCIN;ADGRG6;GDF6;ADAMTS12;SERPINH1;MDK;OGN;HOXA11;SMAD7;HOXA3;RSPO2;COL11A1;SFRP2;MATN3;PAX7;GDF5;ACVRL1;TGFBR2;SNAI1;OSR1;MAF;BMP7;COMP;CYTL1;CREB3L2;TSKU;OSR2;ADAMTS7;TGFB2;WNT7B;EFEMP1;FOSL2"
"GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT",0.000130667712008363,0.0413556121552784,0.356776029868558,1.41786466628862,0,1130,"UTY;DAND5;CHI3L1;MYBPC3;TLR3;GJA5;CD34;SERPINB7;IGFBP7;IL18;ACTC1;ABCC9;TWIST1;GHRL;COL1A2;CX3CR1;FOXN1;EPGN;ITGB2;FLT1;SNAI2;EDN2;EEF1AKMT4-ECE2;KLK3;INHBA;COL3A1;NKX2-5;NPPB;SYK;PECAM1;MYL7;TNNT2;FOXC2;WNT11;RYR1;CER1;HAND2;COL1A1;OVOL2;IGF1;MSX2;MMP14;WNT2;PRL;FN1;HAND1;ANXA1;GREM1;WT1;EDN1;S100A1;FOLR1;SHOX2;FOXS1;LCN10;ECSCR;TGFB1;EMILIN1;ANKRD1;FOXC1;ID3;ANGPTL6;PPARG;ALPK2;NTRK1;HOXA7;SERPINE1;GATA3;MEF2B;TBX18;TBX1;HOXB3;COL8A1;JPH2;GATA2;EDNRA;SULF1;NPR3;TNNC1;LOXL2;TBX5;CCN2;FOXL1;SRPX2;COL5A1;HOXB13;MMP19;ESM1;ID1;CAV1;RIPPLY3;ENG;TCF21;GRHL2;CCL2;CSPG4;ACTA2;MYL3;ITGA5;CARMN;BMP4;TNNI1;GATA6;TBX3;BMP5;TNFRSF12A;WNT3A;COL4A1;MB;ADM;PRDM1;TNF;RGCC;NFATC4;TGFBI;GJA4;CLDN5;PRRX1;ANGPTL7;LOX;EMILIN2;BMPER;IL1A;HSPB7;CDH5;COL4A3;SMAD6;ELK3;HEYL;POPDC1;CIB1;PDGFRB;CCN1;ZFPM2;CXCL13;SLC2A10;IHH;MYH6;ENPEP;RHOJ;ANXA3;ZC3H12A;TFAP2B;LOXL1;HSPB1;ADAMTS1;SPARC;MSX1;TGM2;FAP;PITX2;ETS1;PDGFB;CAV3;DCN;ITGB3;RRAS;IL6R;TNN;FLRT2;NOX4;SYNPO2L;HEY1;STRA6;NPR2;TMEM204;PTGS2;PDLIM3;TMIGD2;ADGRG6;EFEMP2;STAB1;TPM1;DAW1;EPAS1;POPDC3;TIE1;FAM114A1;SVEP1;MDK;ADGRA2;PDLIM7;GADD45A;PLXND1;CRIP1;CDH11;SMAD7;HOXA3;CASP3;CDKN1A;TNNI3;SERPINF1;LRG1;CCM2L;BAX;TBX4;RLN2;NPPA;GPC3;GJA1;COL4A2;CSRP3;WNT16;COL11A1;ADAMTS19;GATA5;COL18A1;FBN1;MYOCD;MMP2;NOS3;MYLK2;LLGL2;POU4F2;FBLN5;NFATC1;COL8A2;GPER1;ID2;SFRP2;VEGFD;ITGAV;TNMD;APLNR;PLK2;EPHA2;SMOC2;VAV3;NAGLU;RBM20;IMMP2L;JUN;SOCS3;EVA1A;MYH9;MFGE8;SGCG;CXCL12;ACVRL1;TGFBR2;PDGFRA;ADAMTS6;IFT25;APOLD1;EPOR;SNAI1;OSR1;SPRY1;ISM1;FMNL3;FHL2;TSPAN12;THBS1;ANG;JAG1;HSPA12B;ELN;HES1;HSPG2;FLT4;ETV2;PDLIM4;MMP21;BMP7;COMP;ADPRHL1;DKK1;PCSK5;CEACAM1;CD93;DLC1;TAFA5;E2F8;AGTR1;NDUFS6;ELMO3;SPHK1;ADAMTS9;PARVA;PTK7;NR2F2;SIK1;TGFB2;JUNB;DSP;WNT7B;FGF1;LIF;FZD1"
"GOBP_COLLAGEN_METABOLIC_PROCESS",0.000169319336268202,0.0413556121552784,0.549378670114897,1.77799221966685,0,99,"MMP7;SERPINB7;COL1A2;INHBA;COL1A1;MMP14;MMP13;MFAP4;TGFB1;EMILIN1;COL5A1;MMP19;ID1;MMP23B;DDR2;BMP4;RGCC;PCOLCE;ADAMTS14;IHH;FAP;IL6R;PRTN3;PLOD2;SERPINH1;P3H2;MMP2;TRAM2;MRC2;NAGLU;P2RX7;P3H3;MMP21;F2;UCN;MMP10;FOSL2;CTSL;P3H1;ITGB1;TNS2;SERPINF2"
"GOBP_CONNECTIVE_TISSUE_DEVELOPMENT",0.000153798831128883,0.0413556121552784,0.430944775620066,1.5774973933446,0,307,"CHI3L1;CD34;SERPINB7;FAM83A;GHRL;SNAI2;COL3A1;CCN4;FOXC2;WNT11;CER1;HAND2;COL1A1;IGF1;MSX2;FOXD1;MMP13;HAND1;GREM1;WT1;EDN1;SHOX2;TGFB1;TLR4;PPARG;GATA3;HOXB3;BGN;SULF1;LOXL2;CCN2;COL5A1;RUNX2;MUSTN1;ALKAL2;ACTA2;PKDCC;LUM;BMP4;BMP5;TGFBI;PRRX1;LOX;BMP1;PDGFRB;CCN1;IHH;MGP;SIX2;TRPV4;THBS3;MSX1;PBXIP1;PDGFB;WNT2B;ITGB3;IL6R;PITX1;NPR2;COL27A1;SCIN;ADGRG6;GDF6;ADAMTS12;SERPINH1;MDK;OGN;HOXA11;CRIP1;SMAD7;HOXA3;GDF7;ALKAL1;RSPO2;COL11A1;CSF1;POU4F2;ID2;SFRP2;MATN3;PAX7;GDF5;ACVRL1;TGFBR2;SNAI1;OSR1;LPL;SELENOM;TRPM4;FOXA1;MAF;BMP7;COMP;CYTL1;CREB3L2;TSKU;OSR2;ADAMTS7;IFRD2;TGFB2"
"GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION",0.00016246953696182,0.0413556121552784,0.545722701497188,1.87703407930246,0,164,"TWIST1;AGT;SNAI2;WNT11;COL1A1;OVOL2;IGF1;MSX2;WNT2;GREM1;EDN1;FOXA2;TGFB1;FOXC1;GATA3;ALX1;EDNRA;LOXL2;TBX5;HGF;ZNF750;ENG;BMP4;TGFB1I1;TBX3;BMP5;RGCC;GSC;VASN;HEYL;DAB2;MSX1;GLIPR2;HEY1;FOXF2;MDK;SMAD7;LRG1;BAMBI;WNT16;LDLRAD4;SFRP2;TGFBR3L;TRIM62;WWTR1;ACVRL1;TGFBR2;SNAI1;S100A4;SPRY1;JAG1;FOXA1;BMP7"
"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION",0.000153727901614143,0.0413556121552784,0.444678556925579,1.63105516366272,0,316,"MMP7;COL6A5;AGT;COL1A2;OTOL1;ITGA8;COL3A1;DMP1;FOXC2;COL1A1;MMP14;MMP13;GREM1;WT1;HPSE2;MFAP4;TGFB1;EMILIN1;FOXC1;PPARG;COLEC12;ADAMTSL5;COL8A1;TCF15;SULF1;COL5A3;LOXL2;COL5A1;MMP19;CAV1;MMP23B;ENG;LUM;DDR2;OLFML2B;COL5A2;WNT3A;POSTN;COL4A1;TNF;RGCC;TGFBI;ANGPTL7;LOX;BMP1;COL4A3;COL13A1;COL12A1;ADAMTS14;HMCN1;CCN1;TIMP3;SLC2A10;IHH;COL16A1;LAMB1;LOXL1;ADAMTS1;FAP;PBXIP1;TGM1;ITGB3;FLRT2;ADAMTS15;COL27A1;COL9A3;EFEMP2;COL10A1;PLOD2;LOXL4;ADAMTS12;ADAMTS4;TIE1;FOXF2;PHLDB2;SERPINH1;CAV2;COL23A1;CCDC80;OLFML2A;ADAMTSL1;COL4A2;NPNT;COL11A1;ADAMTS19;COL18A1;MMP2;ECM2;NID2;COL9A1;FBLN5;COL8A2;SERPINB5;SFRP2;NFKB2;MATN3;SMOC2;NID1;ADAMTSL4;VWA1;PDGFRA;ADAMTS6;P4HA1;VTN"
"GOBP_HEART_DEVELOPMENT",0.000141743444365698,0.0413556121552784,0.37729586113054,1.45150084464974,0,600,"UTY;DAND5;MYBPC3;GJA5;ACTC1;ABCC9;TWIST1;SNAI2;EEF1AKMT4-ECE2;INHBA;COL3A1;NKX2-5;NPPB;MYL7;TNNT2;FOXC2;WNT11;RYR1;CER1;HAND2;OVOL2;IGF1;MSX2;WNT2;FN1;HAND1;GREM1;WT1;EDN1;FOLR1;SHOX2;LCN10;TGFB1;EMILIN1;ANKRD1;FOXC1;ID3;ALPK2;GATA3;MEF2B;TBX18;TBX1;JPH2;EDNRA;TNNC1;TBX5;FOXL1;COL5A1;ID1;RIPPLY3;ENG;GRHL2;MYL3;CARMN;BMP4;TNNI1;GATA6;TBX3;BMP5;WNT3A;MB;ADM;PRDM1;NFATC4;CLDN5;LOX;HSPB7;SMAD6;HEYL;POPDC1;PDGFRB;CCN1;ZFPM2;IHH;MYH6;ADAMTS1;MSX1;PITX2;PDGFB;CAV3;FLRT2;NOX4;SYNPO2L;HEY1;STRA6;PDLIM3;ADGRG6;TPM1;DAW1;POPDC3;TIE1;FAM114A1;PDLIM7;PLXND1;CRIP1;CDH11;SMAD7;CASP3;CDKN1A;TNNI3;CCM2L;NPPA;GPC3;GJA1;CSRP3;WNT16;COL11A1;ADAMTS19;GATA5;FBN1;MYOCD;MMP2;NOS3;MYLK2;POU4F2;NFATC1;GPER1;ID2;SFRP2;APLNR;NAGLU;RBM20;JUN;EVA1A;SGCG;ACVRL1;TGFBR2;PDGFRA;ADAMTS6;IFT25;EPOR;SNAI1;OSR1;SPRY1;FHL2;JAG1;ELN;HES1;PDLIM4;MMP21;BMP7;ADPRHL1;DKK1;PCSK5;DLC1;ADAMTS9;PARVA;PTK7;SIK1;TGFB2;DSP;FZD1;NKX3-1;LDB3;TTN;STK3;CDK1;MYLK3"
"GOBP_HEART_MORPHOGENESIS",0.000156936597614564,0.0413556121552784,0.444830152600726,1.60412438201379,0,266,"MYBPC3;GJA5;ACTC1;ABCC9;TWIST1;SNAI2;NKX2-5;TNNT2;FOXC2;WNT11;RYR1;HAND2;OVOL2;MSX2;WNT2;HAND1;EDN1;FOLR1;SHOX2;TGFB1;ANKRD1;FOXC1;ALPK2;GATA3;TBX1;EDNRA;TNNC1;TBX5;COL5A1;ENG;GRHL2;MYL3;BMP4;TNNI1;GATA6;TBX3;BMP5;WNT3A;CLDN5;SMAD6;HEYL;CCN1;ZFPM2;IHH;MYH6;ADAMTS1;MSX1;PITX2;CAV3;FLRT2;SYNPO2L;HEY1;ADGRG6;TPM1;PLXND1;SMAD7;TNNI3;CCM2L;WNT16;COL11A1;ADAMTS19;GATA5;NOS3;MYLK2;ID2;SFRP2;APLNR;NAGLU;RBM20;JUN;EVA1A;ACVRL1;TGFBR2;SNAI1;SPRY1;FHL2;JAG1;ELN;HES1;BMP7;ADPRHL1;DKK1;DLC1;PARVA;TGFB2;DSP;FZD1;TTN;TEAD2;BMP2;ILK;POU4F1;EFNA1"
"GOBP_HEART_VALVE_DEVELOPMENT",0.000174216027874564,0.0413556121552784,0.57372729794155,1.79138079330072,0,78,"GJA5;TWIST1;SNAI2;NKX2-5;SHOX2;TGFB1;EMILIN1;GATA3;TBX5;BMP4;PRDM1;SMAD6;HEYL;CCN1;PITX2;HEY1;STRA6;TIE1;FAM114A1;CDH11;NPPA;ADAMTS19;GATA5;NOS3;NFATC1;APLNR;NAGLU;TGFBR2;SNAI1;JAG1;ELN;DKK1;ADAMTS9;TGFB2;BMP2;EFNA1"
"GOBP_HEART_VALVE_MORPHOGENESIS",0.000175654312313367,0.0413556121552784,0.618946457862445,1.86983092074142,0,63,"GJA5;TWIST1;SNAI2;NKX2-5;TGFB1;EMILIN1;GATA3;TBX5;BMP4;SMAD6;HEYL;CCN1;HEY1;STRA6;TIE1;FAM114A1;CDH11;NPPA;ADAMTS19;GATA5;NOS3;NFATC1;NAGLU;TGFBR2;SNAI1;JAG1;ELN;ADAMTS9;TGFB2;BMP2;EFNA1"
"GOBP_MESENCHYMAL_CELL_DIFFERENTIATION",0.000156470035988108,0.0413556121552784,0.458915851949478,1.64617610903372,0,249,"WNT10A;TWIST1;AGT;SNAI2;SEMA3G;FOXC2;WNT11;HAND2;COL1A1;OVOL2;IGF1;MSX2;WNT2;FN1;GREM1;EDN1;FOLR1;FOXA2;TGFB1;FOXC1;GATA3;ALX1;TBX1;EDNRA;LOXL2;TBX5;HGF;ZNF750;ENG;TCF21;BMP4;TGFB1I1;TBX3;BMP5;RGCC;GSC;VASN;EDN3;HEYL;DAB2;SIX2;MSX1;PITX2;SEMA5B;SOX10;GLIPR2;HEY1;FOXF2;MDK;SMAD7;LRG1;BAMBI;WNT16;GATA5;LDLRAD4;SFRP2;TGFBR3L;TRIM62;WWTR1;SEMA3F;ACVRL1;TGFBR2;SNAI1;OSR1;S100A4;SPRY1;SEMA6B;JAG1;HES1;FOXA1;BMP7;LAMA5"
"GOBP_MESENCHYME_DEVELOPMENT",0.000153727901614143,0.0413556121552784,0.442811834871793,1.62217950080082,0,310,"DAND5;WNT10A;ACTC1;TWIST1;AGT;ACTG2;SNAI2;SEMA3G;NKX2-5;FOXC2;WNT11;HAND2;COL1A1;OVOL2;IGF1;MSX2;FOXD1;WNT2;FN1;HAND1;GREM1;WT1;EDN1;FOLR1;FOXA2;TGFB1;FOXC1;MEOX1;GATA3;ALX1;TBX1;TCF15;EDNRA;LOXL2;TBX5;HGF;ZNF750;ENG;TCF21;ACTA2;BMP4;TGFB1I1;TBX3;BMP5;WNT3A;RGCC;GSC;VASN;EDN3;HEYL;ZFPM2;DLL3;DAB2;SIX2;MSX1;PITX2;SEMA5B;SOX10;GLIPR2;HEY1;FOXF2;MDK;SMAD7;LRG1;BAMBI;WNT16;GATA5;NOS3;LDLRAD4;SFRP2;TGFBR3L;APLNR;TRIM62;WWTR1;SEMA3F;ACVRL1;TGFBR2;SNAI1;OSR1;S100A4;SPRY1;SEMA6B;JAG1;HES1;FOXA1;BMP7;LAMA5;DKK1;CYP26C1"
"GOBP_MUSCLE_CELL_DEVELOPMENT",0.000160462130937099,0.0413556121552784,0.475602146609885,1.65728364639251,0,186,"MYPN;MYBPC3;KLHL40;ACTC1;LMOD2;NKX2-5;MYBPH;TNNT2;RYR1;IGF1;EDN1;MYL9;SHOX2;ANKRD1;ALPK2;TBX18;EDNRA;MYOZ2;TBX5;ACTN3;ENG;STAC3;BMP4;KRT8;TBX3;ADM;FLNC;NFATC4;LOX;POPDC1;WFIKKN1;PDGFRB;MYH6;TMOD4;LMOD1;MYBPC1;PITX2;CAV3;SYNPO2L;EFEMP2;TPM1;CAV2;CSRP1;CACNA1S;KRT19;NPPA;CSRP3;CSRP2;KEL;NAGLU;PDGFRA;ACTN1"
"GOBP_MUSCLE_ORGAN_DEVELOPMENT",0.000152276534186082,0.0413556121552784,0.435374910671252,1.6135452401993,0,354,"MYBPC3;KLHL40;DCANP1;MYL11;ACTC1;ABCC9;TWIST1;MYMX;TIFAB;SRPK3;UNC45B;COL3A1;COL6A3;NKX2-5;TNNT2;FOXC2;RYR1;IGF1;WNT2;HAND1;WT1;SHOX2;TGFB1;ANKRD1;FOXC1;ID3;VAMP5;MEF2B;TBX1;TAGLN;TCF15;JPH2;EDNRA;MYOZ2;TNNC1;CHRNA1;CAV1;ACTN3;MUSTN1;ENG;HLX;TCF21;CHRND;STAC3;MYL3;BMP4;TNNI1;IGF2;NUPR1;WNT3A;GSC;LOX;HEYL;POPDC1;ZFPM2;ANKRD2;MYH6;MSX1;PITX2;CAV3;PITX1;STRA6;DMRTA2;EFEMP2;TPM1;POPDC3;CAV2;CACNA1S;SMAD7;FOXL2;TNNI3;CSRP3;COL11A1;MYOCD;MYLK2;PAX5;MYL6;KEL;DES;ANKRD33;NAGLU;PAX7;SGCG;FHL3;BTG2;ITGA7;ATF3;CNTF;ELN;HMG20B;LAMA5;CTF1;NR2F2;TGFB2;CD164;DSP;LIF;PAX3;FZD1;TTN;S100B;SGCE;BMP2;SAP30;POU4F1;CHKB"
"GOBP_MUSCLE_ORGAN_MORPHOGENESIS",0.000172980453208787,0.0413556121552784,0.590886046212673,1.85570374822375,0,81,"MYBPC3;MYL11;ACTC1;COL3A1;NKX2-5;TNNT2;FOXC2;WNT2;HAND1;SHOX2;TGFB1;ANKRD1;FOXC1;TBX1;TCF15;EDNRA;TNNC1;ENG;MYL3;BMP4;TNNI1;GSC;ZFPM2;MYH6;PITX2;EFEMP2;TPM1;SMAD7;TNNI3;COL11A1;MYLK2;NAGLU;PAX7;CNTF;TGFB2;DSP;LIF;FZD1;TTN;BMP2;POU4F1"
