"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOCC_3M_COMPLEX",0.984334684850719,1,0.280725383605352,0.460111726658398,5340,5,"ANKRA2;CUL7;OBSL1"
"GOCC_90S_PRERIBOSOME",0.953024670496789,1,0.281598320923678,0.66238353414242,5639,28,"RRP7BP;PWP2;WDR12;RRP7A;TBL3;KRI1;RRP36;SRFBP1;UTP18;SLX9;MPHOSPH10;BMS1;NOC2L;UTP6;UTP4;IMP4;HEATR1;WDR3;PES1;UTP20;WDR36;TSR1;IMP3;NOP14;NOC4L;BOP1;NOP9;NOL6"
"GOCC_9PLUS0_MOTILE_CILIUM",0.459617889709075,1,-0.649963647675738,-1.05690496895225,2116,4,"CFAP45;ODAD4"
"GOCC_9PLUS0_NON_MOTILE_CILIUM",0.993464052287582,1,-0.236727762817059,-0.75291341232563,3191,126,"EYS;GNGT1;GNAT1;IMPG1;DRD1;GUCY2D;PCDH15;PKHD1;CERKL;CRB1;SPTBN5;NPY5R"
"GOCC_9PLUS2_MOTILE_CILIUM",0.66121045392022,1,0.298000164829069,0.930613972807185,4806,223,"PCDH11Y;CCR6;SLC22A14;CABS1;FLACC1;CFAP52;CFAP276;DNAI2;CFAP206;TMEM232;RHO;CFAP141;WBP2NL;TEKTIP1;DNAH12;CT55;CCDC38;CATSPER1;DNAH8;TCP11;CATSPERE;ROPN1L;CST11;TTC29;CATSPERB;TACR1;CFAP57;AK8;SPACA9;SPAG6;RSPH10B2;AKAP3;SPAG8;MYCBPAP;TCTE1;DNAH6;CD52;RIBC2;SPEF1;QRICH2;SAXO2;SPMIP8;CFAP90;ATP2B4;NME5;TEKT5"
"GOCC_A_BAND",0.915572715572716,1,-0.28105871946321,-0.755590642419916,3556,40,"KLHL40;MYBPC3;MYOM1;SMPX;LRRC39"
"GOCC_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX",0.948841201716738,1,0.292115970462816,0.629810369940134,5526,18,"CHRNB3;CHRNG;CHRNA3"
"GOCC_ACETYLTRANSFERASE_COMPLEX",0.823797930614729,1,-0.276866247121773,-0.87109924564067,2706,113,"POTEKP;ACTL8;POTEI"
"GOCC_ACROSOMAL_MEMBRANE",0.313884660916624,1,0.474905540002455,1.10817758137013,1855,27,"EQTN;SPACA1;DCST2;SPACA4;ACRBP;PKDREJ;IZUMO1;ATP8B3;USP8;TRIP11;SPACA6;HYAL3"
"GOCC_ACROSOMAL_VESICLE",0.983873354046457,1,0.249593514995821,0.733448167877454,6649,121,"CABS1;IQCF1;EQTN;CT55;SPACA1;TCP11;DCST2;DPEP3;SPACA9;SPACA4;KIAA1210;SPAG6;ACRBP;AKAP3;SPAG8;MYCBPAP;PKDREJ;SPINK2;SEMG1;ICA1L;IZUMO1;DKKL1;STK31;MORN3"
"GOCC_ACTIN_BASED_CELL_PROJECTION",0.636167922497309,1,-0.28087717770706,-0.948036677091717,1772,211,"LY6G6D;FOXA1;PTPRH;MYO1H;CLRN1;FSCN3;CDHR2;MYO7B;PKHD1L1;FSCN2;CLIC5;PCDH15;MUC20;TBC1D10C;UNC5C;CRB1;MAP2;TMC2;MINAR2;CALB1;CD302;CALML4;ANGPT1;MYO7A;SLC7A5;VIL1;ACTC1;USH2A"
"GOCC_ACTIN_CYTOSKELETON",1,1,-0.169559168550539,-0.611518172196255,1881,480,"POTEKP;MYH7B;MYO1H;MYOT;PRICKLE4;FSCN3;MYO7B;ACTL8;PGM5;POTEI;SEPTIN12;MYO16;FSCN2;CLIC5;MYH4;MYH6;MYH2;LDB3;DMTN;GAS2L2;ARHGAP36;SPTBN5;TMC2;CALB1;TNNT3;FGR;PDLIM4;KALRN;MYO7A;ARSJ;VIL1;ACTC1;MYH11;SYNPO2;APC2;CALD1;SHROOM4;NEXN;LCP1;ITPKA;TMSB15C;BCAR1;SHROOM1;PARVA;PDLIM7;SNCA;MYO1A;AFAP1L1;MTSS2;WIPF1;TPM2;KLHL20;IFIT5;ARHGAP6;SPTBN4;USH1G;AIF1;LPP;CDC42EP1;FBLIM1;STK38L;SH2B2;CFL2;ANXA1;CAPN2;VCL;DAPK1;LAD1;TEK;PKNOX2;ASAP1;INF2;MYO15A;SEPTIN10;MYL9;ZYX;DGKH;ACTB;MYO1B;GMFB;PHLDB2;TAGLN2;FHOD1;CDH2;FHDC1;NCOA5;TLNRD1;ARPC4;AMPH;PIEZO1;MYO1D;DCTN1;SH3GL1;CNN2;SHROOM3;CORO2A;GAS2;CTTNBP2;ERC1;MARCKSL1;GAS2L1;LIMCH1;MYO1F;PPP1R9B;SH3PXD2B;DNAJA3;CRMP1;BIN1;ABLIM2;VPS18;ARPC5;BAG3;ARPC5L;FCHSD1;ADD2;ABLIM1;RAC2;AMOTL2;DBN1;LASP1;MYO9B;OPHN1;ARPC1B;TWF1;ACTA1;SHROOM2;KIF9;MYH1;DCTN5;FSCN1;ACTG1;HAX1"
"GOCC_ACTIN_FILAMENT",0.254652605459057,1,-0.342070031121693,-1.08004989785231,820,118,"POTEKP;MYO1H;PRICKLE4;ACTL8;POTEI;LDB3;DMTN;GAS2L2;PDLIM4;ACTC1;APC2;SHROOM4;LCP1;TMSB15C;PDLIM7;MYO1A;WIPF1;TPM2;ARHGAP6;SPTBN4;AIF1;SH2B2;ANXA1;TEK;INF2;ACTB;MYO1B"
"GOCC_ACTIN_FILAMENT_BUNDLE",0.724219210371243,1,-0.292745123929923,-0.898358141274916,2457,95,"PRICKLE4;PGM5;SEPTIN12;MYH6;LDB3;GAS2L2;PDLIM4;VIL1;SYNPO2;CALD1;SHROOM4;LCP1;PDLIM7;AFAP1L1;LPP;FBLIM1;SH2B2;TEK;MYL9;ZYX;FHOD1;TLNRD1;CNN2;GAS2;GAS2L1;LIMCH1;BAG3;ABLIM1;ACTA1;FSCN1;CRYAB;PDLIM2;PXN;PLS3;BLOC1S6;TRIP6;ACTN4;ACTN1;MICALL2"
"GOCC_ACTIVIN_RECEPTOR_COMPLEX",0.954696868754164,1,-0.285189423286,-0.519733811447195,4298,7,"TGFBR2;ACVR2A;ACVR1B"
"GOCC_ACTOMYOSIN",0.771678832116788,1,-0.286427607038388,-0.878203026353022,2642,93,"PRICKLE4;PGM5;SEPTIN12;MYH6;LDB3;GAS2L2;PDLIM4;SYNPO2;CALD1;SHROOM4;LCP1;PDLIM7;AFAP1L1;LPP;FBLIM1;SH2B2;TEK;MYL9;ZYX;FHOD1;TLNRD1;CNN2;GAS2;GAS2L1;LIMCH1;BAG3;ABLIM1;DBN1;ACTA1;FSCN1"
"GOCC_ADHERENS_JUNCTION",0.965964912280702,1,-0.248757820697822,-0.833709000929801,2752,196,"ESAM;TMEM204;PRICKLE4;CDHR2;PGM5;CDH19;CDH17;CTNNA3;CDH10;LDB3;DCHS2;CRB1;DLG2;PDLIM4;NDRG1;TRIM29;SHROOM4;NEXN;ALOX15B;LYN;SMAD7;CYTH1;NPHP1;FAT2;SHROOM1;PDLIM7;SPTBN4;FRMD4A;CDC42EP1;PTPRM;ANXA1;WTIP;VCL;MAGI1;NIBAN2;ADAM15;ZYX;ARHGAP24;ACTB"
"GOCC_AGGRESOME",0.403536414565826,1,0.53751629958774,1.06021630802868,2304,12,"UBD;PSEN1"
"GOCC_ALPHA_BETA_T_CELL_RECEPTOR_COMPLEX",0.229410465886509,1,-0.711626444957679,-1.25276773258105,1038,6,"CD3D;TRBC1"
"GOCC_ALPHA_DNA_POLYMERASE_PRIMASE_COMPLEX",0.738636363636364,1,-0.464210168657271,-0.787000033301003,3379,5,"POLA1;PRIM2"
"GOCC_ALPHA_KETOACID_DEHYDROGENASE_COMPLEX",0.944549356223176,1,0.295969284537229,0.638118225066497,5501,18,"PDK2;PDK1;DHTKD1;BCKDHA"
"GOCC_ALVEOLAR_LAMELLAR_BODY",0.754830113257828,1,-0.422909945402358,-0.770717915448312,3398,7,"NAPSA"
"GOCC_AMINOACYL_TRNA_SYNTHETASE_MULTIENZYME_COMPLEX",0.722616053052824,1,-0.398066981537836,-0.807455113659067,3159,11,"RARS1;MARS1;AIMP2;EEF1E1;KARS1;LARS1;EPRS1;IARS1"
"GOCC_AMPA_GLUTAMATE_RECEPTOR_COMPLEX",0.825733300468326,1,-0.313887911624341,-0.794440535268877,3349,29,"OLFM3;CACNG2"
"GOCC_AMPHISOME",0.860562398326749,1,-0.341454430492947,-0.717466716534642,3702,13,"LRRK2;CHMP1A;CHMP4C;CHMP6;CHMP4B;CHMP3;CHMP7"
"GOCC_ANAPHASE_PROMOTING_COMPLEX",0.81572541382668,1,-0.329908852155106,-0.776044703931179,3350,21,"CDC26;ANAPC13;FZR1;ANAPC15;CDC16;ANAPC7;CDC20;ANAPC4;ANAPC2;UBE2S;ANAPC10;ANAPC1;ANAPC5;CDC23;UBE2C;MAD2L2;BUB1B;ANAPC16;CUL7;CDC27;ANAPC11"
"GOCC_ANCHORING_JUNCTION",1,1,-0.13496902221266,-0.504024004261123,1222,853,"GJB1;ESAM;NHERF4;DSG4;TMEM204;SLC6A4;PRICKLE4;CDHR2;PGM5;CDH19;PCDHGA12;SCN1A;SKAP1;CAV3;CDH17;CTNNA3;MYH2;CDH10;PLXDC1;ITGB7;KCNA2;PECAM1;LDB3;DCHS2;AQP3;CRB1;GJB2;SLC8A1;SMPX;FRMPD2;VSIG10L2;STEAP1;ITGA11;GJD2;ABCC2;TNC;DLG2;PDLIM4;NDRG1;TNS2;KCND2;NCK1;TRIM29;ACTC1;MAPK15;SYNPO2;APBB1IP;FLNC;SHROOM4;CSRP1;ITGBL1;ADGRE5;FZD2;NEXN;EPPK1;ALOX15B;LYN;SMAD7;CYTH1;NOX4;LCP1;NPHP1;TSPAN9;LIMS2;AKAP6;FAT2;BCAR1;TENM2;SHROOM1;PARVA;PDLIM7;ADGRB1;CLDN18;ITGB5;ARHGEF6;PTK2B;AMOTL1;VAV1;PPFIBP1;FGF13;CAPN5;EPHA2;MTSS2;WWTR1;PLEKHG5;STARD8;SPTBN4;SCN5A;PRKCH;FRMD4A;LPP;MXRA8;GRIA1;CDC42EP1;FBLIM1;PTPRM;MPP2;NFASC;CSK;GIT2;ITGA1;PALS2;PCDHA10;SLC3A2;ANXA1;CAPN2;WTIP;VCL;PMP22;PTPRJ;MAGI1;NIBAN2;GJB7;TEK;ITGB3;CLMP;CLDN10;SNTB2;ADAM15;SPRY4;ITGB8;SSH2;TGM2;CADM4;ZYX;ARHGAP24;DAB2;ACTB"
"GOCC_ANKYRIN_1_COMPLEX",0.073534832288979,1,0.832171293086942,1.36393711754994,398,5,"GYPB;RHCE;SLC4A1"
"GOCC_ANNULATE_LAMELLAE",0.573426573426573,1,-0.549618986141195,-0.931798115597374,2623,5,"EIF5A;TNPO3;RANBP2;XPO1"
"GOCC_AP_1_ADAPTOR_COMPLEX",0.983449268409691,1,-0.2462156317578,-0.549812044472378,4099,17,"STON2;AP1S3;AP1S2;AP1M1;AP1G1;AP2M1;AP3M2;AP3M1;AP1B1;AP4M1;CLBA1;AP1M2;SYNRG;AP1S1;STON1;AFTPH;AP1G2"
"GOCC_AP_2_ADAPTOR_COMPLEX",0.448204893665676,1,-0.502152685165957,-1.01858675117556,1959,11,"SGIP1;STON2;EPS15;TBC1D5;AP2S1"
"GOCC_AP_3_ADAPTOR_COMPLEX",0.934141321747084,1,-0.306076750830052,-0.620858421050395,4084,11,"VPS18;VPS33A;AP3D1;AP3B1;AP3B2;AP3M2;AP3M1;AP3S1;VPS39;VPS41;AP3S2"
"GOCC_AP_TYPE_MEMBRANE_COAT_ADAPTOR_COMPLEX",0.812888198757764,1,-0.303843029842739,-0.820326148946239,3140,41,"SGIP1;STON2;AP1S3;AP5S1;AP4S1;AP5Z1;AP4E1;VPS18;EPS15;TBC1D5;AP1S2;AP1M1;AP2S1;AP1G1;VPS33A;AP3D1;AP3B1;AP4B1;AP2M1;AP3B2"
"GOCC_APICAL_CORTEX",0.836829322146169,1,-0.390243755016187,-0.686996369499196,3789,6,"SPTBN5"
"GOCC_APICAL_DENDRITE",0.97294709121379,1,-0.263569338225396,-0.599313622881371,4063,18,"MAP2;NEURL1;PTK2B;SLC1A1;MAP1B;MYO1D;YKT6"
"GOCC_APICAL_JUNCTION_COMPLEX",1,1,-0.14370899109548,-0.467130482181095,3093,149,"ESAM;NHERF4;PLXDC1;CRB1;FRMPD2;MAPK15;SHROOM4;EPPK1;CYTH1;NPHP1;SHROOM1;CLDN18;AMOTL1;WWTR1;FRMD4A;MXRA8;VCL;PMP22;MAGI1;CLMP;CLDN10;ACTB;AOC1;RAP2C;CDH5"
"GOCC_APICAL_PART_OF_CELL",1,1,0.218543910452397,0.718476153646717,8077,454,"CHL1;SLC6A19;SCNN1B;SLC12A3;SLC26A9;EDAR;UPK3A;ATP6V1B1;ABCG5;CDHR5;SLC34A3;SLC9A4;DRD5;ACY3;SLC17A3;KL;SLC5A10;SLC2A7;SLC22A4;VCAM1;MGAM;ACE2;SCNN1G;CUBN;CPO;ITGA8;CD36;P2RX2;MUC1;ANKS4B;PTH1R;ENPEP;SLC7A9;IGSF5;PARD3B;PTCH1;SLC36A1;RAB27B;CNTFR;C5AR1;PAPPA2;UPK2;ACTN3;SLC16A3;SLC39A4;NPC1L1;CD34;HPN;DUOX1;SLC44A4;SLC4A5;DLL1;SCART1;ATP1B2;HIP1R;SPEF1;AMN;OTOG;SLC9A2;ABCC11;ACP3;TF;CRB2;CLTRN;KCNE2;JAG1;GABRP;SLC12A1;SLC38A3;SLC26A7;DSG1;SLCO1A2;ABCB4;TMEM114;AJAP1;CFTR;FN1;AGER;SLC34A2;CLDN4"
"GOCC_APICAL_PLASMA_MEMBRANE",0.997701149425287,1,0.237659742134595,0.770715780951379,7811,361,"SLC6A19;SCNN1B;SLC12A3;SLC26A9;UPK3A;ATP6V1B1;ABCG5;CDHR5;SLC34A3;SLC9A4;DRD5;ACY3;SLC17A3;KL;SLC5A10;SLC2A7;SLC22A4;MGAM;ACE2;SCNN1G;CUBN;CPO;CD36;P2RX2;MUC1;PTH1R;ENPEP;SLC7A9;IGSF5;PARD3B;SLC36A1;RAB27B;CNTFR;PAPPA2;UPK2;SLC16A3;SLC39A4;NPC1L1;CD34;HPN;DUOX1;SLC44A4;SLC4A5;DLL1;ATP1B2;HIP1R;SPEF1;AMN;OTOG;SLC9A2;ABCC11;TF;CRB2;CLTRN;KCNE2;JAG1;GABRP;SLC12A1;SLC38A3;SLC26A7;DSG1;SLCO1A2;ABCB4;TMEM114;AJAP1;CFTR;FN1;AGER;SLC34A2;CLDN4;CASR;SLC47A1;IGFBP2;ADCY8;ANO1;SLC4A10;SLC24A4;TRPA1;ERBB3;FXYD1;CTSK;C1QTNF5;BST2;KIAA1614"
"GOCC_APICOLATERAL_PLASMA_MEMBRANE",0.986481861738535,1,0.254473302081364,0.560266012808533,5764,20,"CRB2;TMEM114;CLDN4;CLDN3;OCLN;FZD6;PALM"
"GOCC_APOLIPOPROTEIN_B_MRNA_EDITING_ENZYME_COMPLEX",0.720420199041651,1,0.503678801751885,0.825534620984216,3908,5,"A1CF;APOBEC3G"
"GOCC_ARP2_3_PROTEIN_COMPLEX",0.262100456621005,1,-0.600792771774671,-1.18736471470541,1147,10,"ARPC4;ARPC5;ARPC5L;ARPC1B;ACTR3B;ACTR3;ARPC2;ACTR2;ARPC3"
"GOCC_ARYL_HYDROCARBON_RECEPTOR_COMPLEX",0.725794797687861,1,0.453844717137589,0.817279248781126,4017,8,"AHR;AHRR;ARNT2;AIP"
"GOCC_ASTER",0.884747313057398,1,-0.336576326152421,-0.682724989242854,3868,11,"MAP9;MISP;MAPRE1;KIF18B;MAPRE3;FAM161A;PAFAH1B1;DYNLT3;CCSAP;NUMA1;KIF18A"
"GOCC_ASTROCYTE_END_FOOT",0.466084620550705,1,-0.520644079534906,-1.00426292435476,2081,9,"ADCY10"
"GOCC_ASTROCYTE_PROJECTION",0.552492809204219,1,-0.403779634065147,-0.932372200479967,2304,19,"ADCY10;KCNK2;GRM3;EIF2S1;SYT4"
"GOCC_ASYMMETRIC_GLUTAMATERGIC_EXCITATORY_SYNAPSE",0.0707296137339056,1,0.651175544630681,1.40395306018375,411,18,"NLGN4Y;C1QL2"
"GOCC_ATAC_COMPLEX",0.880906713164778,1,0.343917706741113,0.701183177034048,5051,14,"KAT2B;KAT14;POLE3;POLE4;YEATS2;KAT2A;TADA3;SGF29;MAP3K7;DR1;MBIP;ZZZ3;WDR5;TADA2A"
"GOCC_ATG1_ULK1_KINASE_COMPLEX",0.729064039408867,1,-0.423933603551438,-0.79677623417356,3255,8,"C9orf72;TBC1D5;ATG101;SESN2;ULK1;ATG13;SMCR8;RB1CC1"
"GOCC_ATG12_ATG5_ATG16_COMPLEX",0.43652020313535,1,-0.599988025358344,-1.05623623662364,1976,6,"WDFY3;ATG5;ATG16L1"
"GOCC_ATP_BINDING_CASSETTE_ABC_TRANSPORTER_COMPLEX",0.474616079494128,1,0.552558977752724,1.01757201165877,2626,9,"ABCG5;ABCA2;ABCG8"
"GOCC_ATPASE_COMPLEX",1,1,-0.212692678514726,-0.69165347543676,3085,150,"EP400P1;DPF3;MYOD1;CHD5;RB1;ATP6V1G2;ACTL6B;ATP6V1C1;SRCAP;BICRA;PEX26;UFD1;SMARCA1;ACTB;DPF1;ACTL6A;DERL2;ATP6V0A2;ATP6V0A4;DMAP1;RBBP7;FAF2;AFG2A;MBD3;GATAD2A;MYBBP1A;UBXN2A;ACTR5;VCP;BRD9;INO80C;TRRAP;ATP6V1D;DDX21;UBXN6"
"GOCC_ATPASE_DEPENDENT_TRANSMEMBRANE_TRANSPORT_COMPLEX",0.955345911949686,1,0.268316211815582,0.719476218305221,6075,60,"ATP6V1B1;ABCG5;FXYD2;ATP1B2;SLC9A2;TESC;ABCA2;ATP6V1C2;FXYD1;CHP2;ABCG8"
"GOCC_AUTOLYSOSOME",0.880872483221476,1,-0.311732447671275,-0.719824982924667,3674,19,"RAB30;HLA-DRA;LRRK2;C9orf72;PIK3C3;CLN3;GAA;FTH1;RAB39B;LAMP2;LAMP1;SQSTM1;FTL;MAP1LC3A;NCOA4;HLA-DRB1;PLEKHM1;RAB39A;STX17"
"GOCC_AUTOLYSOSOME_MEMBRANE",0.869198312236287,1,-0.367003665893894,-0.6688334086599,3913,7,"RAB30;HLA-DRA"
"GOCC_AUTOPHAGOSOME",0.689939608189719,1,0.306710453606395,0.905477570909732,4683,126,"PEG3;MEFV;RUFY4;ATG9B"
"GOCC_AUTOPHAGOSOME_MEMBRANE",0.363111599780099,1,-0.358644641195968,-1.03999041026415,1320,63,"IRGM;TMEM150B"
"GOCC_AXOLEMMA",0.693454992103878,1,0.41962192104899,0.841143956051014,3951,13,"SLC1A2;KCNC1;ROBO2;EPB41L3"
"GOCC_AXON",1,1,-0.165258555422088,-0.606591352441175,1559,625,"POTEKP;ADCY10;OPRM1;MYOC;ROBO4;OXT;CACNG2;INSRR;MYOT;FSCN3;ACTL8;POTEI;SCN1A;CRH;HAPLN2;NTRK2;C4A;KCNK2;NCAM2;GPER1;NCMAP;KCNA2;UNC5C;GABRG2;CALCA;GHRL;MAP2;SLC6A3;SLC8A1;RGS7BP;DISC1;ADAM21;KCNQ3;PRPH;GRM3;CNTF;CALB1;GNRH1;UNC13A;DLG2;TRPV2;CRHR2;UNC80;COMT;MAG;MYPN;USH2A;SLC5A7;RIN3;KCNH1;TRPC5;NEXN;SPOCK1;TACR3;MDGA1;DAGLA;SYT5;CHRNA10;PRKN;SCN9A;SYT4;BCAR1;TENM2;KIF21A;GRIK2;SNCA;KCNAB1;PTK2B;LRP2"
"GOCC_AXON_CYTOPLASM",1,1,0.172848032516346,0.46749097269855,6380,64,"AGBL4;RAB27B;NEFL;KIF3A;BLOC1S2;DYNC1H1;ARL8A;AP3S2;KIF5A;SPG7;KIF1B;KIF4A;BLOC1S5;TRIM46"
"GOCC_AXON_HILLOCK",0.495915213071318,1,-0.56783739717969,-0.999637342850339,2245,6,"MAP2;SPTBN4;NDEL1"
"GOCC_AXON_INITIAL_SEGMENT",0.941820837390458,1,-0.283408935034804,-0.666662933242941,3868,21,"SCN1A;KCNA2;MAP2;KCNQ3"
"GOCC_AXONAL_GROWTH_CONE",0.542997127893225,1,0.410911337918592,0.947943560753583,3213,25,"BOC;SCN11A;PTCH1;FLRT3;COBL;EPHA4;NIN;GPM6A"
"GOCC_AXONEMAL_A_TUBULE_INNER_SHEATH",0.462160176340926,1,-0.402941657842554,-0.985015385251178,1886,25,"EFCAB6;CIMIP2A;SPMIP9;CFAP53;PIERCE2"
"GOCC_AXONEMAL_B_TUBULE_INNER_SHEATH",0.0935862691960253,1,0.73881400975911,1.36057233421461,517,9,"CFAP52;CFAP276;CFAP90"
"GOCC_AXONEMAL_CENTRAL_APPARATUS",0.385520763935154,1,-0.599856913654726,-1.09318892848305,1735,7,"SPAG17;CFAP65;HYDIN"
"GOCC_AXONEMAL_DOUBLET_MICROTUBULE",0.573184723815768,1,0.370976998320387,0.930181751152693,3496,39,"CFAP52;CFAP276;CFAP206;CFAP141;TEKTIP1;CFAP73;SPACA9;SPAG8;RIBC2;SPMIP8;CFAP90;TEKT5"
"GOCC_AXONEMAL_DYNEIN_COMPLEX",0.908798646362098,1,0.309679317288924,0.696080532114966,5370,22,"DNAI2;DNAH12;DNAH8;CCDC65;DNAH7;ODAD1;CFAP70"
"GOCC_AXONEMAL_MICROTUBULE",0.656164162223299,1,0.345320413543546,0.891522204316194,4060,47,"CFAP52;CFAP276;CFAP206;CFAP141;TEKTIP1;SPACA9;SPAG8;RIBC2;SAXO2;SPMIP8;CFAP90;TEKT5"
"GOCC_AXONEMAL_NEXIN_LINK",0.981501245108502,1,0.262289650000638,0.494428765510359,5517,10,"CCDC65;TCTE1;FBXL13"
"GOCC_AXONEME",0.981461286804798,1,-0.244114341426072,-0.826144371488152,2699,217,"EYS;RSPH14;CLXN;CFAP61;EFCAB6;CIMIP2A;SPMIP9;DYDC1;SPAG17;DNAI3;DNAI1;CFAP53;CCDC63;CYS1;CFAP65;DRC1;PIERCE2;DNAJB13;AKAP14;BBOF1;DNAH9;IQUB;DNAH2;HYDIN;DNAI4;CFAP184;MNS1;CFAP45;RSPH4A;MAPK15;RSPH10B;EFHB;KATNIP;PIERCE1;NPHP1;DNAL4;SAXO1;DNAL1;CFAP74;ODAD4;CFAP300;B9D2;WDPCP;CFAP95;IQCD;CFAP210"
"GOCC_AZUROPHIL_GRANULE",1,1,-0.183974224906623,-0.591020071714337,3176,136,"PIGR;CD68;OLFM4;RAB44"
"GOCC_AZUROPHIL_GRANULE_LUMEN",0.263352886693424,1,0.399647879203437,1.10748209230352,1705,76,"MPO;ARG1;PRSS2;AZU1;LYZ;PLAC8;SERPINB3;RNASET2;PRTN3;ADA2;NPC2;ARSA;TOLLIP;AGA;DYNC1H1"
"GOCC_AZUROPHIL_GRANULE_MEMBRANE",0.361794109700081,1,-0.368771693723495,-1.04376092099337,1338,54,"PIGR;CD68;RAB44"
"GOCC_B_CELL_RECEPTOR_COMPLEX",0.745115067303517,1,-0.475469274434454,-0.773159915221294,3431,4,"SYK;CD79B"
"GOCC_B_WICH_COMPLEX",0.972904624277457,1,0.281526167696988,0.506969644372592,5385,8,"ERCC6;MYO1C;SF3B1;DEK;SMARCA5"
"GOCC_BARR_BODY",0.410465886509163,1,-0.615444603786916,-1.08344644339522,1858,6,"LRIF1;MACROH2A1;FIRRE;H2AZ1"
"GOCC_BASAL_CORTEX",0.758085664335664,1,-0.452292728114868,-0.766795766490427,3468,5,"PHLDB2;PKD2;CLASP2;PHLDB1;CLASP1"
"GOCC_BASAL_DENDRITE",0.625655594405594,1,-0.522482281162455,-0.885791825421262,2862,5,"MAP2;MAP1B;YKT6;MAPK8"
"GOCC_BASAL_PART_OF_CELL",1,1,-0.194906106513274,-0.677633980718519,2460,289,"SLC2A9;SLC22A1;ADCY10;SLC23A1;SCN3A;SLC39A5;ABCA8;SCTR;CLRN1;DIO1;C5AR2;CDH17;MUC20;FOLR1;AQP3;CALHM1;FRMPD2;TGFA;TGFBR3;HFE;RHCG;DLG2;BEST1;KCNQ1"
"GOCC_BASEMENT_MEMBRANE",0.560211002260738,1,0.332357918620196,0.951099883065688,3716,97,"COL4A3;VTN;ANG;COL13A1;NTN1;NTN4;EFNA5;SMOC2;PAPLN;VWC2;EGFLAM;LAMA3;LAMA4;NTN5;HMCN1;COL7A1;ACTA2;COL16A1;COL28A1;FN1;FREM1;THBS4;HMCN2;COL15A1;LAMA5;LAMA2;COLQ;CD151;THBS2;LAMB1;ENTPD2;ITGB4;LAMB2;COL4A2;COL17A1;COL5A1;LAMC1;EFEMP2;FRAS1"
"GOCC_BASOLATERAL_PLASMA_MEMBRANE",0.997564605601407,1,0.233739401197339,0.73645987224157,7372,244,"SLC10A1;SLC40A1;SLC14A1;ATP6V1B1;SLCO1B1;SLC26A5;SLC9A4;SLCO6A1;LPO;CA9;BEST2;FXYD2;AQP7;PTH1R;SLC4A1;CD38;C5AR1;ADRA2A;SLC16A3;SLC16A7;SLC4A5;SPEF1;SLC4A4;SLC9A2;ERBB4;ATP2B4;SLC26A1;PLPP3;HPGD;SLC38A3;SLC26A7;SLCO1A2;TESC;AJAP1;CFTR;CASR;SLC47A1;CADM1;SLCO2A1;NAIP;NDRG4;ADCY8;SLC4A10;CA11;PDGFB;ABCA1;HCN1;ERBB3;CNNM2;CD1D;LRRC7;RHBG;SLC26A11;SLC16A8;CHP2;NOD2;CD44;CLCNKA;KCNJ4;SLC8A2;SLC6A12"
"GOCC_BBAF_COMPLEX",0.962824617573817,1,0.299793802513647,0.565125919700295,5412,10,"SMARCA2;ARID1B;ARID1A"
"GOCC_BBSOME",0.954545454545455,1,-0.288830580427452,-0.542852324654716,4262,8,"BBS4;BBS7;BBS5;TTC8;BBS9"
"GOCC_BCL_2_FAMILY_PROTEIN_COMPLEX",0.910174315190324,1,0.344419505601622,0.649247543591155,5116,10,"BIK;PMAIP1"
"GOCC_BETA_CATENIN_DESTRUCTION_COMPLEX",0.802797202797203,1,-0.368134344511362,-0.758237109278395,3443,12,"APC2;DACT1;CACYBP;APC;GSK3A"
"GOCC_BETA_CATENIN_TCF_COMPLEX",0.874539392875943,1,0.350891213641145,0.703371317799186,4983,13,"LEF1;TLE4;TCF4;BCL9L;TLE3;TCF7"
"GOCC_BLEB",0.822944896115628,1,0.399601840808507,0.73589185116096,4554,9,"PTPRC;P2RX7;TPM1"
"GOCC_BLOC_1_COMPLEX",0.927729636048527,1,0.314064137936913,0.650997076566974,5352,15,"SNAP25;BLOC1S2;STX12;BCAS4;BLOC1S5"
"GOCC_BLOC_COMPLEX",0.984086242299795,1,0.258809881670017,0.569813726205143,5750,20,"SNAP25;BLOC1S2;STX12;HPS1;BCAS4;BLOC1S5;HPS3"
"GOCC_BLOOD_MICROPARTICLE",0.865177078583371,1,0.287572646363027,0.815956491631179,5691,91,"A2M;ORM1;F2;PLG;APOA2;HBA2;CPN2;CFB;POTEE;VTN;SLC4A1;SERPINF2;C4B;HBA1;TF;APOA1;TGFB1;C1R;CP;FN1"
"GOCC_BORC_COMPLEX",0.909320809248555,1,0.354222069396385,0.637879732530208,5033,8,"BLOC1S2;BORCS7;BORCS5;BORCS8;KXD1;BLOC1S1"
"GOCC_BOX_C_D_RNP_COMPLEX",0.924707440936189,1,-0.321148724283012,-0.565359483183981,4187,6,"FBLL1;RRP9;NOP56;NOP58;FBL;SNU13"
"GOCC_BOX_H_ACA_RNP_COMPLEX",0.208697552447552,1,-0.75629053374842,-1.28217931323404,954,5,"TERC"
"GOCC_BOX_H_ACA_TELOMERASE_RNP_COMPLEX",0.208697552447552,1,-0.75629053374842,-1.28217931323404,954,5,"TERC"
